"","K","X1","X2","bias","variance"
"1",1,0,0,-0.25,16.2
"2",1,0,10,0.14,12.2
"3",1,0,20,-0.523,20.4
"4",1,0,30,0.109,15.6
"5",1,0,40,-0.566,21.4
"6",1,0,50,-0.336,15.9
"7",1,0,60,-1.04,12.4
"8",1,0,70,-0.0213,12.4
"9",1,0,80,0.045,18.3
"10",1,0,90,-0.312,14.7
"11",10,0,0,-0.0669627853382887,21.9200022557488
"12",8,0,10,0.367019244746253,14.4528226741641
"13",3,0,20,-0.128463598027898,24.7044742659225
"14",9,0,30,0.710493501819171,16.9285587539111
"15",8,0,40,0.344187332533874,17.1447134927066
"16",9,0,50,0.404770877561225,22.9960175037333
"17",2,0,60,0.694758107861599,12.7641131782332
"18",3,0,70,-0.0691629156661496,16.7443484357739
"19",6,0,80,-1.0516381416076,16.1843892131432
"20",7,0,90,0.103719442320488,21.8025266839201
"21",8,0,0,-0.487364627513456,15.4163097105625
"22",8,0,10,-0.476449121457032,20.0188559197933
"23",4,0,20,0.301961706283695,14.8195585980079
"24",9,0,30,-0.0896940226563726,20.0159047390195
"25",5,0,40,-0.797340031790007,20.8684698709167
"26",7,0,50,0.0363872357600973,24.6056134652737
"27",4,0,60,0.0033422791586824,17.9030487058872
"28",9,0,70,-0.438776561473507,22.4452504405435
"29",4,0,80,0.167814498068904,23.5287109690512
"30",7,0,90,0.0922716465967251,18.8658557802684
"31",4,0,0,0.627035878525828,11.035482846222
"32",1,0,10,0.967163357615557,20.5022685166421
"33",10,0,20,0.286202493724317,23.4743311684019
"34",4,0,30,-0.228528533855789,10.2935917809013
"35",4,0,40,-0.387742326083849,21.5158708407554
"36",9,0,50,-0.145238060539076,12.7333092548776
"37",5,0,60,-0.123660966994183,12.5693180789271
"38",6,0,70,0.764594046400313,13.2414273678433
"39",10,0,80,-0.0491803048519025,24.4236606715779
"40",9,0,90,0.297888113278263,21.4721895393858
"41",2,0,0,-0.35570150789157,17.5110895193955
"42",1,0,10,-0.170261521283698,23.6404174142459
"43",10,0,20,0.23783567306026,11.8663362752775
"44",7,0,30,0.0602147251297977,22.7769775275728
"45",3,0,40,0.70311312779815,22.4241584353094
"46",5,0,50,0.457919755960951,15.934341989223
"47",10,0,60,-0.489216260474657,18.4794935368539
